datecode,year,month,day,temp,wind,flow
36342,1999,7,1,71.533,7.2407,53186
36343,1999,7,2,77.621,8.5886,45439
36344,1999,7,3,82.351,11.071,38632
36345,1999,7,4,85.339,11.261,35215
36346,1999,7,5,83.027,11.383,42793
36347,1999,7,6,74.748,8.803,50347
36348,1999,7,7,75.572,6.3623,50993
36349,1999,7,8,76.279,11.078,50696
36350,1999,7,9,70.201,11.07,48542
36351,1999,7,10,65.394,5.8141,43795
36352,1999,7,11,69.044,3.7304,46315
36353,1999,7,12,70.379,5.0187,53903
36354,1999,7,13,73.302,8.5505,53973
36355,1999,7,14,77.353,11.198,54384
36356,1999,7,15,80.425,10.161,53900
36357,1999,7,16,79.711,9.0933,49149
36358,1999,7,17,70.563,4.9471,42706
36359,1999,7,18,73.99,5.3325,45585
36360,1999,7,19,71.07,7.3062,54694
36361,1999,7,20,73.217,6.8393,54426
36362,1999,7,21,77.499,4.6087,56776
36363,1999,7,22,80.114,5.9098,56729
36364,1999,7,23,78.603,7.2685,50548
36365,1999,7,24,83.267,5.5852,42349
36366,1999,7,25,79.637,5.7965,44733
36367,1999,7,26,77.33,6.082,53788
36368,1999,7,27,77.536,5.1976,55342
36369,1999,7,28,80.864,7.5873,55308
36370,1999,7,29,85.536,7.4899,55054
36371,1999,7,30,86.362,8.7866,46647
36372,1999,7,31,75.898,8.8974,39876
36373,1999,8,1,70.229,6.5411,44339
36374,1999,8,2,69.393,5.824,53179
36375,1999,8,3,72.813,7.5008,52602
36376,1999,8,4,70.546,7.2793,53510
36377,1999,8,5,70.382,7.2454,52511
36378,1999,8,6,71.845,7.129,47488
36379,1999,8,7,67.78,8.3435,41961
36380,1999,8,8,62.49,6.4942,46995
36381,1999,8,9,67.857,7.7993,53329
36382,1999,8,10,73.33,6.5527,52777
36383,1999,8,11,71.21,5.55,52852
36384,1999,8,12,72.113,9.9673,52074
36385,1999,8,13,64.081,9.9834,50559
36386,1999,8,14,63.677,4.3906,43104
36387,1999,8,15,69.547,9.0267,45059
36388,1999,8,16,74.006,7.701,54325
36389,1999,8,17,71.158,5.7961,54901
36390,1999,8,18,65.691,6.577,55034
36391,1999,8,19,64.5,6.7485,55520
36392,1999,8,20,66.77,3.5862,49960
36393,1999,8,21,68.819,3.4097,42392
36394,1999,8,22,69.272,5.463,45453
36395,1999,8,23,68.762,8.7878,53594
36396,1999,8,24,69.24,8.7569,54884
36397,1999,8,25,69.277,6.5835,55241
36398,1999,8,26,71.704,3.8442,53948
36399,1999,8,27,78.185,5.87,47264
36400,1999,8,28,74.145,6.5436,41946
36401,1999,8,29,63.617,10.943,47156
36402,1999,8,30,62.263,7.5046,55194
36403,1999,8,31,66.212,5.2347,54763
36404,1999,9,1,70.251,4.3393,53355
36405,1999,9,2,75.47,4.4384,52251
36406,1999,9,3,77.082,5.7371,44494
36407,1999,9,4,75.362,4.7545,36517
36408,1999,9,5,71.237,8.3161,34865
36409,1999,9,6,63.065,4.4102,45181
36410,1999,9,7,69.092,8.169,53303
36411,1999,9,8,66.642,8.9149,54847
36412,1999,9,9,57.842,9.4889,59211
36413,1999,9,10,61.595,6.3786,52553
36414,1999,9,11,66.954,6.9683,43055
36415,1999,9,12,62.002,8.4518,48091
36416,1999,9,13,57.335,9.3755,61767
36417,1999,9,14,57.131,7.2054,63710
36418,1999,9,15,55.506,4.7813,64177
36419,1999,9,16,57.247,5.1902,64466
36420,1999,9,17,59.349,3.9933,57120
36421,1999,9,18,63.921,6.2518,47176
36422,1999,9,19,61.824,9.4349,52002
36423,1999,9,20,51.151,8.2612,71830
36424,1999,9,21,50.419,4.5241,77316
36425,1999,9,22,63.549,8.8095,63488
36426,1999,9,23,62.789,9.714,60849
36427,1999,9,24,54.703,4.3286,61919
36428,1999,9,25,67.879,8.9897,47773
36429,1999,9,26,70.109,10.235,48299
36430,1999,9,27,56.851,7.589,64038
36431,1999,9,28,53.258,10.15,77000
36432,1999,9,29,53.441,8.4857,79462
36433,1999,9,30,55.573,10.377,81491
36434,1999,10,1,49.398,6.918,81297
36435,1999,10,2,43.761,6.9517,97097
36436,1999,10,3,42.502,8.1994,1.18E+05
36437,1999,10,4,46.9,6.0823,1.16E+05
36438,1999,10,5,51.732,8.272,99590
36439,1999,10,6,49.553,8.6723,1.04E+05
36440,1999,10,7,60.341,11.502,78295
36441,1999,10,8,57.035,5.6253,67570
36442,1999,10,9,62.748,5.5777,53305
36443,1999,10,10,56.583,5.9681,63418
36444,1999,10,11,56.466,6.4274,78210
36445,1999,10,12,64.328,11.654,66428
36446,1999,10,13,44.177,7.2717,1.16E+05
36447,1999,10,14,52.054,8.5421,1.00E+05
36448,1999,10,15,67.267,10.492,61410
36449,1999,10,16,50.581,8.7466,74464
36450,1999,10,17,41.839,7.2016,1.24E+05
36451,1999,10,18,46.484,4.689,1.22E+05
36452,1999,10,19,46.036,7.7242,1.17E+05
36453,1999,10,20,43.905,7.5482,1.33E+05
36454,1999,10,21,57.183,13.6,96370
36455,1999,10,22,42.727,15.476,1.38E+05
36456,1999,10,23,36.689,9.6853,1.46E+05
36457,1999,10,24,42.914,7.1039,1.32E+05
36458,1999,10,25,54.638,10.302,1.05E+05
36459,1999,10,26,46.893,7.3265,1.14E+05
36460,1999,10,27,53.123,9.8937,1.03E+05
36461,1999,10,28,51.645,6.2019,1.01E+05
36462,1999,10,29,64.669,9.273,66956
36463,1999,10,30,59.436,7.7172,60968
36464,1999,10,31,54.666,4.7869,74471
36465,1999,11,1,52.733,14.107,98510
36466,1999,11,2,36.212,11.188,1.63E+05
36467,1999,11,3,35.853,5.4013,1.69E+05
36468,1999,11,4,54.015,10.846,1.12E+05
36469,1999,11,5,47.846,6.3859,1.10E+05
36470,1999,11,6,40.93,2.6156,1.21E+05
36471,1999,11,7,47.036,6.5282,1.14E+05
36472,1999,11,8,63.348,9.3373,73611
36473,1999,11,9,64.463,10.888,64055
36474,1999,11,10,46.518,13.406,1.14E+05
36475,1999,11,11,41.469,4.9143,1.39E+05
36476,1999,11,12,46.323,3.3867,1.11E+05
36477,1999,11,13,57.848,11.188,78725
36478,1999,11,14,39.951,6.4845,1.28E+05
36479,1999,11,15,40.041,7.7394,1.55E+05
36480,1999,11,16,36.969,4.23,1.62E+05
36481,1999,11,17,43.597,8.0143,1.42E+05
36482,1999,11,18,57.542,12.113,95377
36483,1999,11,19,44.54,10.392,1.20E+05
36484,1999,11,20,38.825,5.761,1.36E+05
36485,1999,11,21,47.402,7.8251,1.19E+05
36486,1999,11,22,51.378,7.5261,1.03E+05
36487,1999,11,23,46.397,14.676,1.24E+05
36488,1999,11,24,36.49,5.7578,1.53E+05
36489,1999,11,25,37.864,5.233,1.38E+05
36490,1999,11,26,39.209,7.8574,1.41E+05
36491,1999,11,27,35.265,6.614,1.53E+05
36492,1999,11,28,33.569,7.5581,1.77E+05
36493,1999,11,29,28.035,6.0335,2.07E+05
36494,1999,11,30,31.872,7.7404,1.99E+05
36495,1999,12,1,41.235,10.094,1.73E+05
36496,1999,12,2,51.671,9.3515,1.23E+05
36497,1999,12,3,48.625,6.3069,1.11E+05
36498,1999,12,4,43.114,7.1579,1.21E+05
36499,1999,12,5,30.516,10.257,1.92E+05
36500,1999,12,6,28.725,6.8277,2.13E+05
36501,1999,12,7,34.625,8.2963,1.88E+05
36502,1999,12,8,40.708,4.1721,1.51E+05
36503,1999,12,9,37.317,8.1632,1.68E+05
36504,1999,12,10,27.298,5.3666,2.09E+05
36505,1999,12,11,34.562,4.7032,1.73E+05
